ID;ACCESSION;DEFINITION;VERSION;REFERENCE;ORGANISM;AUTHORS;TITLE;Assembly Method;Sequencing Technology;Location/Qualifiers;mol_type;strain;host;geo_loc_name;collection_date;Date_Soumission
KJ152667.1;"KJ152667
";"Coxsackievirus A24 isolate CVA-24-RUS-UZB01-15213_20-Jun-2001 5'
";"KJ152667.1
";"1  (bases 1 to 557)
";"Coxsackievirus A24
";"Smura,T., Blomqvist,S., Vuorinen,T., Ivanova,O., Samoilovich,E.,
";"Recombination in the Evolution of Enterovirus C Species Sub-Group
";"Geneious Pro v. 6.0
";"Sanger dideoxy sequencing
";"         1..557
";"""genomic RNA""";NA;"""Homo sapiens""";"""Uzbekistan""";"""20-Jun-2001""";"26-APR-2014
"
KJ152666.1;"KJ152666
";"Coxsackievirus A24 isolate CVA-24-RUS-KGZ01-15071_18-Jun-2001 5'
";"KJ152666.1
";"1  (bases 1 to 523)
";"Coxsackievirus A24
";"Smura,T., Blomqvist,S., Vuorinen,T., Ivanova,O., Samoilovich,E.,
";"Recombination in the Evolution of Enterovirus C Species Sub-Group
";"Geneious Pro v. 6.0
";"Sanger dideoxy sequencing
";"         1..523
";"""genomic RNA""";NA;"""Homo sapiens""";"""Kyrgyzstan""";"""18-Jun-2001""";"26-APR-2014
"
KJ152665.1;"KJ152665
";"Coxsackievirus A24 isolate CVA-24-RUS-TKM01-14868_10-Mar-2001 5'
";"KJ152665.1
";"1  (bases 1 to 524)
";"Coxsackievirus A24
";"Smura,T., Blomqvist,S., Vuorinen,T., Ivanova,O., Samoilovich,E.,
";"Recombination in the Evolution of Enterovirus C Species Sub-Group
";"Geneious Pro v. 6.0
";"Sanger dideoxy sequencing
";"         1..524
";"""genomic RNA""";NA;"""Homo sapiens""";"""Turkmenistan""";"""10-Mar-2001""";"26-APR-2014
"
KJ152664.1;"KJ152664
";"Coxsackievirus A24 isolate CVA-24-RUS01-14455_14-Feb-2001 5' UTR.
";"KJ152664.1
";"1  (bases 1 to 555)
";"Coxsackievirus A24
";"Smura,T., Blomqvist,S., Vuorinen,T., Ivanova,O., Samoilovich,E.,
";"Recombination in the Evolution of Enterovirus C Species Sub-Group
";"Geneious Pro v. 6.0
";"Sanger dideoxy sequencing
";"         1..555
";"""genomic RNA""";NA;"""Homo sapiens""";"""Russia""";"""14-Feb-2001""";"26-APR-2014
"
KJ152663.1;"KJ152663
";"Coxsackievirus A24 isolate CVA-24-RUS01-13232-2001 5' UTR.
";"KJ152663.1
";"1  (bases 1 to 524)
";"Coxsackievirus A24
";"Smura,T., Blomqvist,S., Vuorinen,T., Ivanova,O., Samoilovich,E.,
";"Recombination in the Evolution of Enterovirus C Species Sub-Group
";"Geneious Pro v. 6.0
";"Sanger dideoxy sequencing
";"         1..524
";"""genomic RNA""";NA;"""Homo sapiens""";"""Russia""";"""2001""";"26-APR-2014
"
KJ152662.1;"KJ152662
";"Coxsackievirus A24 isolate CVA-24-LVA03-757_19-Jun-2003 5' UTR.
";"KJ152662.1
";"1  (bases 1 to 554)
";"Coxsackievirus A24
";"Smura,T., Blomqvist,S., Vuorinen,T., Ivanova,O., Samoilovich,E.,
";"Recombination in the Evolution of Enterovirus C Species Sub-Group
";"Geneious Pro v. 6.0
";"Sanger dideoxy sequencing
";"         1..554
";"""genomic RNA""";NA;"""Homo sapiens""";"""Latvia""";"""19-Jun-2003""";"26-APR-2014
"
KJ152661.1;"KJ152661
";"Coxsackievirus A24 isolate CVA-24-FIN06-EV07-2A-29392_18-Dec-2006
";"KJ152661.1
";"1  (bases 1 to 493)
";"Coxsackievirus A24
";"Smura,T., Blomqvist,S., Vuorinen,T., Ivanova,O., Samoilovich,E.,
";"Recombination in the Evolution of Enterovirus C Species Sub-Group
";"Geneious Pro v. 6.0
";"Sanger dideoxy sequencing
";"         1..493
";"""genomic RNA""";NA;"""Homo sapiens""";"""Finland""";"""18-Dec-2006""";"26-APR-2014
"
KJ152660.1;"KJ152660
";"Coxsackievirus A24 isolate CVA-24-FIN06-32_24-Oct-2006 5' UTR.
";"KJ152660.1
";"1  (bases 1 to 521)
";"Coxsackievirus A24
";"Smura,T., Blomqvist,S., Vuorinen,T., Ivanova,O., Samoilovich,E.,
";"Recombination in the Evolution of Enterovirus C Species Sub-Group
";"Geneious Pro v. 6.0
";"Sanger dideoxy sequencing
";"         1..521
";"""genomic RNA""";NA;"""Homo sapiens""";"""Finland""";"""24-Oct-2006""";"26-APR-2014
"
KJ152658.1;"KJ152658
";"Coxsackievirus A24 isolate CVA-24-FIN05-EV05-1-7920_4-Jan-2005 5'
";"KJ152658.1
";"1  (bases 1 to 521)
";"Coxsackievirus A24
";"Smura,T., Blomqvist,S., Vuorinen,T., Ivanova,O., Samoilovich,E.,
";"Recombination in the Evolution of Enterovirus C Species Sub-Group
";"Geneious Pro v. 6.0
";"Sanger dideoxy sequencing
";"         1..521
";"""genomic RNA""";NA;"""Homo sapiens""";"""Finland""";"""04-Jan-2005""";"26-APR-2014
"
KJ152657.1;"KJ152657
";"Coxsackievirus A24 isolate CVA-24-FIN05-17_31-Oct-2005 5' UTR.
";"KJ152657.1
";"1  (bases 1 to 521)
";"Coxsackievirus A24
";"Smura,T., Blomqvist,S., Vuorinen,T., Ivanova,O., Samoilovich,E.,
";"Recombination in the Evolution of Enterovirus C Species Sub-Group
";"Geneious Pro v. 6.0
";"Sanger dideoxy sequencing
";"         1..521
";"""genomic RNA""";NA;"""Homo sapiens""";"""Finland""";"""31-Oct-2005""";"26-APR-2014
"
KJ152656.1;"KJ152656
";"Coxsackievirus A24 isolate CVA-24-FIN05-1663-13794_18-Oct-2005 5'
";"KJ152656.1
";"1  (bases 1 to 523)
";"Coxsackievirus A24
";"Smura,T., Blomqvist,S., Vuorinen,T., Ivanova,O., Samoilovich,E.,
";"Recombination in the Evolution of Enterovirus C Species Sub-Group
";"Geneious Pro v. 6.0
";"Sanger dideoxy sequencing
";"         1..523
";"""genomic RNA""";NA;"""Homo sapiens""";"""Finland""";"""18-Oct-2005""";"26-APR-2014
"
KJ152655.1;"KJ152655
";"Coxsackievirus A24 isolate CVA-24-FIN04-EV04-34A-3787-2004 5' UTR.
";"KJ152655.1
";"1  (bases 1 to 550)
";"Coxsackievirus A24
";"Smura,T., Blomqvist,S., Vuorinen,T., Ivanova,O., Samoilovich,E.,
";"Recombination in the Evolution of Enterovirus C Species Sub-Group
";"Geneious Pro v. 6.0
";"Sanger dideoxy sequencing
";"         1..550
";"""genomic RNA""";NA;"""Homo sapiens""";"""Finland""";"""2004""";"26-APR-2014
"
KJ152654.1;"KJ152654
";"Coxsackievirus A24 isolate CVA-24-FIN04-EV04-27A-2124-2004 5' UTR.
";"KJ152654.1
";"1  (bases 1 to 550)
";"Coxsackievirus A24
";"Smura,T., Blomqvist,S., Vuorinen,T., Ivanova,O., Samoilovich,E.,
";"Recombination in the Evolution of Enterovirus C Species Sub-Group
";"Geneious Pro v. 6.0
";"Sanger dideoxy sequencing
";"         1..550
";"""genomic RNA""";NA;"""Homo sapiens""";"""Finland""";"""2004""";"26-APR-2014
"
KJ152653.1;"KJ152653
";"Coxsackievirus A24 isolate CVA-24-FIN04-EV04-1C_15-Jan-2004 5' UTR.
";"KJ152653.1
";"1  (bases 1 to 556)
";"Coxsackievirus A24
";"Smura,T., Blomqvist,S., Vuorinen,T., Ivanova,O., Samoilovich,E.,
";"Recombination in the Evolution of Enterovirus C Species Sub-Group
";"Geneious Pro v. 6.0
";"Sanger dideoxy sequencing
";"         1..556
";"""genomic RNA""";NA;"""Homo sapiens""";"""Finland""";"""15-Jan-2004""";"26-APR-2014
"
KJ152652.1;"KJ152652
";"Coxsackievirus A24 isolate CVA-24-FIN03-817-1619-2003 5' UTR.
";"KJ152652.1
";"1  (bases 1 to 556)
";"Coxsackievirus A24
";"Smura,T., Blomqvist,S., Vuorinen,T., Ivanova,O., Samoilovich,E.,
";"Recombination in the Evolution of Enterovirus C Species Sub-Group
";"Geneious Pro v. 6.0
";"Sanger dideoxy sequencing
";"         1..556
";"""genomic RNA""";NA;"""Homo sapiens""";"""Finland""";"""2003""";"26-APR-2014
"
KJ152651.1;"KJ152651
";"Coxsackievirus A24 isolate CVA-24-FIN02-671-2002 5' UTR.
";"KJ152651.1
";"1  (bases 1 to 555)
";"Coxsackievirus A24
";"Smura,T., Blomqvist,S., Vuorinen,T., Ivanova,O., Samoilovich,E.,
";"Recombination in the Evolution of Enterovirus C Species Sub-Group
";"Geneious Pro v. 6.0
";"Sanger dideoxy sequencing
";"         1..555
";"""genomic RNA""";NA;"""Homo sapiens""";"""Finland""";"""2002""";"26-APR-2014
"
KJ152650.1;"KJ152650
";"Coxsackievirus A24 isolate CVA24-AUT05-1600_12-Apr-2005 5' UTR.
";"KJ152650.1
";"1  (bases 1 to 555)
";"Coxsackievirus A24
";"Smura,T., Blomqvist,S., Vuorinen,T., Ivanova,O., Samoilovich,E.,
";"Recombination in the Evolution of Enterovirus C Species Sub-Group
";"Geneious Pro v. 6.0
";"Sanger dideoxy sequencing
";"         1..555
";"""genomic RNA""";NA;"""Homo sapiens""";"""Austria""";"""12-Apr-2005""";"26-APR-2014
"
KJ152649.1;"KJ152649
";"Coxsackievirus A24 isolate CVA-24-1869-25202_6-Sep-2006 5' UTR.
";"KJ152649.1
";"1  (bases 1 to 525)
";"Coxsackievirus A24
";"Smura,T., Blomqvist,S., Vuorinen,T., Ivanova,O., Samoilovich,E.,
";"Recombination in the Evolution of Enterovirus C Species Sub-Group
";"Geneious Pro v. 6.0
";"Sanger dideoxy sequencing
";"         1..525
";"""genomic RNA""";NA;"""Homo sapiens""";"""Finland""";"""06-Sep-2006""";"26-APR-2014
"
KJ152648.1;"KJ152648
";"Coxsackievirus A24 isolate CVA-24-RUS-00-14038_21-Nov-2000 5' UTR.
";"KJ152648.1
";"1  (bases 1 to 519)
";"Coxsackievirus A24
";"Smura,T., Blomqvist,S., Vuorinen,T., Ivanova,O., Samoilovich,E.,
";"Recombination in the Evolution of Enterovirus C Species Sub-Group
";"Geneious Pro v. 6.0
";"Sanger dideoxy sequencing
";"         1..519
";"""genomic RNA""";NA;"""Homo sapiens""";"""Russia""";"""21-Nov-2000""";"26-APR-2014
"
KJ152647.1;"KJ152647
";"Coxsackievirus A24 isolate CVA-24-FIN04-6B-2004 5' UTR.
";"KJ152647.1
";"1  (bases 1 to 556)
";"Coxsackievirus A24
";"Smura,T., Blomqvist,S., Vuorinen,T., Ivanova,O., Samoilovich,E.,
";"Recombination in the Evolution of Enterovirus C Species Sub-Group
";"Geneious Pro v. 6.0
";"Sanger dideoxy sequencing
";"         1..556
";"""genomic RNA""";NA;"""Homo sapiens""";"""Finland""";"""2004""";"26-APR-2014
"
KJ152646.1;"KJ152646
";"Coxsackievirus A21 isolate CVA-21-SVK05-E1571_Skalica_17-Feb-2005
";"KJ152646.1
";"1  (bases 1 to 519)
";"Coxsackievirus A21
";"Smura,T., Blomqvist,S., Vuorinen,T., Ivanova,O., Samoilovich,E.,
";"Recombination in the Evolution of Enterovirus C Species Sub-Group
";"Geneious Pro v. 6.0
";"Sanger dideoxy sequencing
";"         1..519
";"""genomic RNA""";NA;"""Homo sapiens""";"""Slovakia""";"""17-Feb-2005""";"26-APR-2014
"
KJ152645.1;"KJ152645
";"Coxsackievirus A21 isolate CVA-21-RUS01-15341_4-Jul-2001 5' UTR.
";"KJ152645.1
";"1  (bases 1 to 519)
";"Coxsackievirus A21
";"Smura,T., Blomqvist,S., Vuorinen,T., Ivanova,O., Samoilovich,E.,
";"Recombination in the Evolution of Enterovirus C Species Sub-Group
";"Geneious Pro v. 6.0
";"Sanger dideoxy sequencing
";"         1..519
";"""genomic RNA""";NA;"""Homo sapiens""";"""Russia""";"""04-Jul-2001""";"26-APR-2014
"
KJ152644.1;"KJ152644
";"Coxsackievirus A21 isolate CVA-21-LVA03-756_5-Mar-2003 5' UTR.
";"KJ152644.1
";"1  (bases 1 to 518)
";"Coxsackievirus A21
";"Smura,T., Blomqvist,S., Vuorinen,T., Ivanova,O., Samoilovich,E.,
";"Recombination in the Evolution of Enterovirus C Species Sub-Group
";"Geneious Pro v. 6.0
";"Sanger dideoxy sequencing
";"         1..518
";"""genomic RNA""";NA;"""Homo sapiens""";"""Latvia""";"""05-Mar-2003""";"26-APR-2014
"
KJ152643.1;"KJ152643
";"Coxsackievirus A21 isolate CVA-21-FIN06-EV06-34A-30796_14-Nov-2006
";"KJ152643.1
";"1  (bases 1 to 519)
";"Coxsackievirus A21
";"Smura,T., Blomqvist,S., Vuorinen,T., Ivanova,O., Samoilovich,E.,
";"Recombination in the Evolution of Enterovirus C Species Sub-Group
";"Geneious Pro v. 6.0
";"Sanger dideoxy sequencing
";"         1..519
";"""genomic RNA""";NA;"""Homo sapiens""";"""Finland""";"""14-Nov-2006""";"26-APR-2014
"
KJ152642.1;"KJ152642
";"Coxsackievirus A21 isolate CVA-21-FIN06-E1906-28163_27-Sep-2006 5'
";"KJ152642.1
";"1  (bases 1 to 472)
";"Coxsackievirus A21
";"Smura,T., Blomqvist,S., Vuorinen,T., Ivanova,O., Samoilovich,E.,
";"Recombination in the Evolution of Enterovirus C Species Sub-Group
";"Geneious Pro v. 6.0
";"Sanger dideoxy sequencing
";"         1..472
";"""genomic RNA""";NA;"""Homo sapiens""";"""Finland""";"""27-Sep-2006""";"26-APR-2014
"
KJ152641.1;"KJ152641
";"Coxsackievirus A21 isolate CVA-21-FIN03-862-36252-2003 5' UTR.
";"KJ152641.1
";"1  (bases 1 to 520)
";"Coxsackievirus A21
";"Smura,T., Blomqvist,S., Vuorinen,T., Ivanova,O., Samoilovich,E.,
";"Recombination in the Evolution of Enterovirus C Species Sub-Group
";"Geneious Pro v. 6.0
";"Sanger dideoxy sequencing
";"         1..520
";"""genomic RNA""";NA;"""Homo sapiens""";"""Finland""";"""2003""";"26-APR-2014
"
KJ152640.1;"KJ152640
";"Coxsackievirus A21 isolate CVA-21-EST06-E1783-20171_28-Feb-2006 5'
";"KJ152640.1
";"1  (bases 1 to 519)
";"Coxsackievirus A21
";"Smura,T., Blomqvist,S., Vuorinen,T., Ivanova,O., Samoilovich,E.,
";"Recombination in the Evolution of Enterovirus C Species Sub-Group
";"Geneious Pro v. 6.0
";"Sanger dideoxy sequencing
";"         1..519
";"""genomic RNA""";NA;"""Homo sapiens""";"""Estonia""";"""28-Feb-2006""";"26-APR-2014
"
KF129031.1;"KF129031
";"Coxsackievirus A24 isolate FIN07-EV07-22B VP1 gene, partial cds.
";"KF129031.1
";"1  (bases 1 to 337)
";"Coxsackievirus A24
";"Smura,T., Blomqvist,S., Vuorinen,T., Ivanova,O., Samoilovich,E.,
";"The Evolution of Vp1 Gene in Enterovirus C Species Sub-Group That
";"Geneious v. 6.0
";"Sanger dideoxy sequencing
";"         1..337
";"""genomic RNA""";NA;"""Homo sapiens""";"""Finland""";"""13-Aug-2007""";"12-APR-2014
"
KF129030.1;"KF129030
";"Coxsackievirus A24 isolate FIN07-EV07-20A-34537 VP1 gene, partial
";"KF129030.1
";"1  (bases 1 to 337)
";"Coxsackievirus A24
";"Smura,T., Blomqvist,S., Vuorinen,T., Ivanova,O., Samoilovich,E.,
";"The Evolution of Vp1 Gene in Enterovirus C Species Sub-Group That
";"Geneious v. 6.0
";"Sanger dideoxy sequencing
";"         1..337
";"""genomic RNA""";NA;"""Homo sapiens""";"""Finland""";"""15-Jul-2007""";"12-APR-2014
"
KF129029.1;"KF129029
";"Coxsackievirus A24 isolate RUS01-15876 VP1 gene, partial cds.
";"KF129029.1
";"1  (bases 1 to 297)
";"Coxsackievirus A24
";"Smura,T., Blomqvist,S., Vuorinen,T., Ivanova,O., Samoilovich,E.,
";"The Evolution of Vp1 Gene in Enterovirus C Species Sub-Group That
";"Geneious v. 6.0
";"Sanger dideoxy sequencing
";"         1..297
";"""genomic RNA""";NA;"""Homo sapiens""";"""Russia""";"""20-Jul-2001""";"12-APR-2014
"
KF129028.1;"KF129028
";"Coxsackievirus A24 isolate RUS01-15327 VP1 gene, partial cds.
";"KF129028.1
";"1  (bases 1 to 311)
";"Coxsackievirus A24
";"Smura,T., Blomqvist,S., Vuorinen,T., Ivanova,O., Samoilovich,E.,
";"The Evolution of Vp1 Gene in Enterovirus C Species Sub-Group That
";"Geneious v. 6.0
";"Sanger dideoxy sequencing
";"         1..311
";"""genomic RNA""";NA;"""Homo sapiens""";"""Russia""";"""23-Jun-2001""";"12-APR-2014
"
KF129027.1;"KF129027
";"Coxsackievirus A24 isolate RUS01-15213 VP1 gene, partial cds.
";"KF129027.1
";"1  (bases 1 to 280)
";"Coxsackievirus A24
";"Smura,T., Blomqvist,S., Vuorinen,T., Ivanova,O., Samoilovich,E.,
";"The Evolution of Vp1 Gene in Enterovirus C Species Sub-Group That
";"Geneious v. 6.0
";"Sanger dideoxy sequencing
";"         1..280
";"""genomic RNA""";NA;"""Homo sapiens""";"""Russia""";"""20-Jun-2001""";"12-APR-2014
"
KF129026.1;"KF129026
";"Coxsackievirus A24 isolate RUS01-15071 VP1 gene, partial cds.
";"KF129026.1
";"1  (bases 1 to 306)
";"Coxsackievirus A24
";"Smura,T., Blomqvist,S., Vuorinen,T., Ivanova,O., Samoilovich,E.,
";"The Evolution of Vp1 Gene in Enterovirus C Species Sub-Group That
";"Geneious v. 6.0
";"Sanger dideoxy sequencing
";"         1..306
";"""genomic RNA""";NA;"""Homo sapiens""";"""Russia""";"""18-Jun-2001""";"12-APR-2014
"
KF129025.1;"KF129025
";"Coxsackievirus A24 isolate RUS01-14868 VP1 gene, partial cds.
";"KF129025.1
";"1  (bases 1 to 316)
";"Coxsackievirus A24
";"Smura,T., Blomqvist,S., Vuorinen,T., Ivanova,O., Samoilovich,E.,
";"The Evolution of Vp1 Gene in Enterovirus C Species Sub-Group That
";"Geneious v. 6.0
";"Sanger dideoxy sequencing
";"         1..316
";"""genomic RNA""";NA;"""Homo sapiens""";"""Russia""";"""10-Mar-2001""";"12-APR-2014
"
KF129024.1;"KF129024
";"Coxsackievirus A24 isolate RUS01-14455 VP1 gene, partial cds.
";"KF129024.1
";"1  (bases 1 to 319)
";"Coxsackievirus A24
";"Smura,T., Blomqvist,S., Vuorinen,T., Ivanova,O., Samoilovich,E.,
";"The Evolution of Vp1 Gene in Enterovirus C Species Sub-Group That
";"Geneious v. 6.0
";"Sanger dideoxy sequencing
";"         1..319
";"""genomic RNA""";NA;"""Homo sapiens""";"""Russia""";"""14-Feb-2001""";"12-APR-2014
"
KF129023.1;"KF129023
";"Coxsackievirus A24 isolate RUS00-14038 VP1 gene, partial cds.
";"KF129023.1
";"1  (bases 1 to 304)
";"Coxsackievirus A24
";"Smura,T., Blomqvist,S., Vuorinen,T., Ivanova,O., Samoilovich,E.,
";"The Evolution of Vp1 Gene in Enterovirus C Species Sub-Group That
";"Geneious v. 6.0
";"Sanger dideoxy sequencing
";"         1..304
";"""genomic RNA""";NA;"""Homo sapiens""";"""Russia""";"""21-Nov-2000""";"12-APR-2014
"
KF129022.1;"KF129022
";"Coxsackievirus A24 isolate LVA03-757 VP1 gene, partial cds.
";"KF129022.1
";"1  (bases 1 to 356)
";"Coxsackievirus A24
";"Smura,T., Blomqvist,S., Vuorinen,T., Ivanova,O., Samoilovich,E.,
";"The Evolution of Vp1 Gene in Enterovirus C Species Sub-Group That
";"Geneious v. 6.0
";"Sanger dideoxy sequencing
";"         1..356
";"""genomic RNA""";NA;"""Homo sapiens""";"""Latvia""";"""19-Jun-2003""";"12-APR-2014
"
KF129021.1;"KF129021
";"Coxsackievirus A24 isolate FIN10-EV10-2B VP1 gene, partial cds.
";"KF129021.1
";"1  (bases 1 to 337)
";"Coxsackievirus A24
";"Smura,T., Blomqvist,S., Vuorinen,T., Ivanova,O., Samoilovich,E.,
";"The Evolution of Vp1 Gene in Enterovirus C Species Sub-Group That
";"Geneious v. 6.0
";"Sanger dideoxy sequencing
";"         1..337
";"""genomic RNA""";NA;"""Homo sapiens""";"""Finland""";"""02-Mar-2010""";"12-APR-2014
"
KF129020.1;"KF129020
";"Coxsackievirus A24 isolate FIN10-EV10-23B-91082 VP1 gene, partial
";"KF129020.1
";"1  (bases 1 to 318)
";"Coxsackievirus A24
";"Smura,T., Blomqvist,S., Vuorinen,T., Ivanova,O., Samoilovich,E.,
";"The Evolution of Vp1 Gene in Enterovirus C Species Sub-Group That
";"Geneious v. 6.0
";"Sanger dideoxy sequencing
";"         1..318
";"""genomic RNA""";NA;"""Homo sapiens""";"""Finland""";"""30-Aug-2010""";"12-APR-2014
"
KF129019.1;"KF129019
";"Coxsackievirus A24 isolate FIN10-E3319-A341 VP1 gene, partial cds.
";"KF129019.1
";"1  (bases 1 to 337)
";"Coxsackievirus A24
";"Smura,T., Blomqvist,S., Vuorinen,T., Ivanova,O., Samoilovich,E.,
";"The Evolution of Vp1 Gene in Enterovirus C Species Sub-Group That
";"Geneious v. 6.0
";"Sanger dideoxy sequencing
";"         1..337
";"""genomic RNA""";NA;"""Homo sapiens""";"""Finland""";"""23-Mar-2010""";"12-APR-2014
"
KF129018.1;"KF129018
";"Coxsackievirus A24 isolate FIN09-EV09-7A-70636 VP1 gene, partial
";"KF129018.1
";"1  (bases 1 to 336)
";"Coxsackievirus A24
";"Smura,T., Blomqvist,S., Vuorinen,T., Ivanova,O., Samoilovich,E.,
";"The Evolution of Vp1 Gene in Enterovirus C Species Sub-Group That
";"Geneious v. 6.0
";"Sanger dideoxy sequencing
";"         1..336
";"""genomic RNA""";NA;"""Homo sapiens""";"""Finland""";"""27-Feb-2009""";"12-APR-2014
"
KF129017.1;"KF129017
";"Coxsackievirus A24 isolate FIN09-EV09-14A-72174 VP1 gene, partial
";"KF129017.1
";"1  (bases 1 to 286)
";"Coxsackievirus A24
";"Smura,T., Blomqvist,S., Vuorinen,T., Ivanova,O., Samoilovich,E.,
";"The Evolution of Vp1 Gene in Enterovirus C Species Sub-Group That
";"Geneious v. 6.0
";"Sanger dideoxy sequencing
";"         1..286
";"""genomic RNA""";NA;"""Homo sapiens""";"""Finland""";"""15-Jun-2009""";"12-APR-2014
"
KF129016.1;"KF129016
";"Coxsackievirus A24 isolate FIN09-EV09-12B-70971 VP1 gene, partial
";"KF129016.1
";"1  (bases 1 to 337)
";"Coxsackievirus A24
";"Smura,T., Blomqvist,S., Vuorinen,T., Ivanova,O., Samoilovich,E.,
";"The Evolution of Vp1 Gene in Enterovirus C Species Sub-Group That
";"Geneious v. 6.0
";"Sanger dideoxy sequencing
";"         1..337
";"""genomic RNA""";NA;"""Homo sapiens""";"""Finland""";"""05-May-2009""";"12-APR-2014
"
KF129015.1;"KF129015
";"Coxsackievirus A24 isolate FIN09-EV09-11B-70968 VP1 gene, partial
";"KF129015.1
";"1  (bases 1 to 341)
";"Coxsackievirus A24
";"Smura,T., Blomqvist,S., Vuorinen,T., Ivanova,O., Samoilovich,E.,
";"The Evolution of Vp1 Gene in Enterovirus C Species Sub-Group That
";"Geneious v. 6.0
";"Sanger dideoxy sequencing
";"         1..341
";"""genomic RNA""";NA;"""Homo sapiens""";"""Finland""";"""14-May-2009""";"12-APR-2014
"
KF129014.1;"KF129014
";"Coxsackievirus A24 isolate FIN09-3140-78104 VP1 gene, partial cds.
";"KF129014.1
";"1  (bases 1 to 337)
";"Coxsackievirus A24
";"Smura,T., Blomqvist,S., Vuorinen,T., Ivanova,O., Samoilovich,E.,
";"The Evolution of Vp1 Gene in Enterovirus C Species Sub-Group That
";"Geneious v. 6.0
";"Sanger dideoxy sequencing
";"         1..337
";"""genomic RNA""";NA;"""Homo sapiens""";"""Finland""";"""22-Oct-2009""";"12-APR-2014
"
KF129013.1;"KF129013
";"Coxsackievirus A24 isolate FIN09-3137-78084 VP1 gene, partial cds.
";"KF129013.1
";"1  (bases 1 to 337)
";"Coxsackievirus A24
";"Smura,T., Blomqvist,S., Vuorinen,T., Ivanova,O., Samoilovich,E.,
";"The Evolution of Vp1 Gene in Enterovirus C Species Sub-Group That
";"Geneious v. 6.0
";"Sanger dideoxy sequencing
";"         1..337
";"""genomic RNA""";NA;"""Homo sapiens""";"""Finland""";"""23-Oct-2009""";"12-APR-2014
"
KF129012.1;"KF129012
";"Coxsackievirus A24 isolate FIN09-2996-72114 VP1 gene, partial cds.
";"KF129012.1
";"1  (bases 1 to 335)
";"Coxsackievirus A24
";"Smura,T., Blomqvist,S., Vuorinen,T., Ivanova,O., Samoilovich,E.,
";"The Evolution of Vp1 Gene in Enterovirus C Species Sub-Group That
";"Geneious v. 6.0
";"Sanger dideoxy sequencing
";"         1..335
";"""genomic RNA""";NA;"""Homo sapiens""";"""Finland""";"""20-May-2009""";"12-APR-2014
"
KF129011.1;"KF129011
";"Coxsackievirus A24 isolate FIN08-EV08-3A-51551 VP1 gene, partial
";"KF129011.1
";"1  (bases 1 to 337)
";"Coxsackievirus A24
";"Smura,T., Blomqvist,S., Vuorinen,T., Ivanova,O., Samoilovich,E.,
";"The Evolution of Vp1 Gene in Enterovirus C Species Sub-Group That
";"Geneious v. 6.0
";"Sanger dideoxy sequencing
";"         1..337
";"""genomic RNA""";NA;"""Homo sapiens""";"""Finland""";"""30-Jan-2008""";"12-APR-2014
"
KF129010.1;"KF129010
";"Coxsackievirus A24 isolate FIN08-EV08-28A-59927 VP1 gene, partial
";"KF129010.1
";"1  (bases 1 to 338)
";"Coxsackievirus A24
";"Smura,T., Blomqvist,S., Vuorinen,T., Ivanova,O., Samoilovich,E.,
";"The Evolution of Vp1 Gene in Enterovirus C Species Sub-Group That
";"Geneious v. 6.0
";"Sanger dideoxy sequencing
";"         1..338
";"""genomic RNA""";NA;"""Homo sapiens""";"""Finland""";"""10-Oct-2008""";"12-APR-2014
"
KF129009.1;"KF129009
";"Coxsackievirus A24 isolate FIN07-EV08-1A-51415 VP1 gene, partial
";"KF129009.1
";"1  (bases 1 to 334)
";"Coxsackievirus A24
";"Smura,T., Blomqvist,S., Vuorinen,T., Ivanova,O., Samoilovich,E.,
";"The Evolution of Vp1 Gene in Enterovirus C Species Sub-Group That
";"Geneious v. 6.0
";"Sanger dideoxy sequencing
";"         1..334
";"""genomic RNA""";NA;"""Homo sapiens""";"""Finland""";"""18-Dec-2007""";"12-APR-2014
"
KF129008.1;"KF129008
";"Coxsackievirus A24 isolate CVA-24-FIN07-EV07-42A-51242 VP1 gene,
";"KF129008.1
";"1  (bases 1 to 244)
";"Coxsackievirus A24
";"Smura,T., Blomqvist,S., Vuorinen,T., Ivanova,O., Samoilovich,E.,
";"The Evolution of Vp1 Gene in Enterovirus C Species Sub-Group That
";"Geneious v. 6.0
";"Sanger dideoxy sequencing
";"         1..244
";"""genomic RNA""";NA;"""Homo sapiens""";"""Finland""";"""2007""";"12-APR-2014
"
KF129007.1;"KF129007
";"Coxsackievirus A24 isolate FIN07-EV07-26A-37474 VP1 gene, partial
";"KF129007.1
";"1  (bases 1 to 334)
";"Coxsackievirus A24
";"Smura,T., Blomqvist,S., Vuorinen,T., Ivanova,O., Samoilovich,E.,
";"The Evolution of Vp1 Gene in Enterovirus C Species Sub-Group That
";"Geneious v. 6.0
";"Sanger dideoxy sequencing
";"         1..334
";"""genomic RNA""";NA;"""Homo sapiens""";"""Finland""";"""30-Aug-2007""";"12-APR-2014
"
