Recombination Event Number; Number In .RDP File; Begin; End;Begin; End;Begin; End; Recombinant Sequence(s); Minor Parental Sequence(s); Major Parental Sequence(s); RDP; GENECONV; Bootscan; Maxchi; Chimaera; SiSscan;PhylPro; LARD; 3Seq
178;207;3246;4633;3246;4633;3243;4621;^JX017381_China_2011;OQ791511_USA_2009;MF574099_China_2010; 9.52115081317425E-25;NS; 1.65579726283072E-20; 3.86326655948713E-12; 7.35859712704797E-11; 1.88522672552077E-66;NS;NS; 7.33907108418919E-08
179;208; 5647*;6302; 5647*;6302; 5634*;6285;LC627090_Viet-Nam_2016;Unknown (ON502207_China_2017);MG207963_China_2017; 5.53642819397314E-20; 4.29324785001171E-13; 9.47866278356861E-18; 3.25606815549656E-09; 9.63791971007728E-11; 4.06945563587623E-14;NS;NS; 2.62734740471312E-20
180;209;3544;3742;3535;3733;3541;3739;MH144604_India_2013;MH118024_India_2017;PP621680_Thailand_2019; 7.59956369223889E-21; 8.89275753274997E-16; 1.81819136941665E-16; 1.43431733478094E-04; 1.93470128063117E-05; 1.85498006239244E-14;NS;NS; 1.26395109711908E-07
181;210;2954;3282;2954;3282;2951;3279;^KF982854_China_2012;JX678886_China_2002;HQ424436_Greece_2010; 1.17919759933526E-20; 3.1971758563042E-18; 1.84807307723659E-16; 6.00737286948468E-13; 8.53276523238882E-13; 1.39466231006231E-12;NS;NS; 4.10898008309513E-05
182;211;5083;5450;5082;5449;5070;5437;^KF982854_China_2012;JX678886_China_2002;HQ424436_Greece_2010; 2.78586673594983E-25; 1.29346976634673E-29; 6.27034176978188E-32; 4.752692183389E-12; 1.64645444664386E-11; 1.41323709419693E-15;NS;NS; 4.59420091291628E-22
183;212;5806;6108;5805;6107;5793;6095;KF982854_China_2012;KC414134_China_2011;HQ424436_Greece_2010; 1.44062860561091E-23; 8.49242821799317E-23; 1.06245931398862E-24; 1.78817166548867E-10; 1.61947601672321E-10; 2.23188873550368E-09;NS;NS; 2.73762858748242E-28
184;213;6278;2734;6278;2734;6263;2731;^MF678348_Australia_2010;OQ842423_USA_2013;Unknown (HM775882_South-Korea_2006); 5.08525195520442E-19;NS; 1.09852403696156E-12; 9.65752804241841E-19; 4.21358737440958E-14; 1.07172668160245E-38;NS;NS; 2.10645854166858E-04
185;214;4210;78;4210;78;4207;78;^PP461523_Nepal_2023;PP621691_Nepal_2023;Unknown (HM775882_South-Korea_2006); 4.67120686366871E-16;NS; 2.29433209721292E-22; 2.88673663922047E-15; 5.12235767431547E-13; 2.2285224621904E-25;NS;NS;NS
186;216; 4754*;6301; 4754*;6301; 4741*;6284;^FJ606450_China_2008;MW713442_China_2016;FJ360546_China_2008; 3.0778617039968E-17; 1.36500425350975E-14; 5.24575093613113E-17; 9.32685892930053E-18; 2.07751720731265E-14; 4.28327954881944E-47;NS;NS; 1.88604497572736E-10
187;217;5089;6170;5086;6167;5076;6157;^KP266568_China_2009;OP672302_China_2014;Unknown (MF574099_China_2010); 8.17513229040122E-15;NS; 1.02447791894694E-13; 3.21405421870021E-16; 1.35103018079411E-14; 5.92118122413166E-10;NS;NS; 1.56151801399846E-20
188;218;4066;4451;4033;4418;4063;4448;^MH118024_India_2017;PP858877_Hungary_2024;Unknown (MH718269_USA_2018); 3.71268316184039E-16;NS; 1.74233054976987E-10; 2.0918368176687E-11; 3.71206354798954E-09;NS;NS;NS; 8.15452372293635E-09
189;219;130;2368;130;2365;130;2365;^PP887984_Hungary_2023;OP207968_USA_2017;MW183137_China_2007; 2.18891295907744E-14;NS; 6.41627296376363E-09; 4.78229667950215E-14; 7.80429958776615E-16; 2.29056202104486E-25;NS;NS; 9.36156008111375E-12
190;220; 6291*;3414; 6286*;3409; 6274*;3411;KM890278_China_2009;MF678303_Australia_2009;KM388538_China_2012; 2.23540169584178E-14; 1.76936646947321E-07; 3.67332440088759E-12; 4.49910746490916E-11; 2.709534726545E-06; 7.14720171120705E-09;NS;NS; 5.70816497735827E-07
191;221;3978;4787;3978;4787;3975;4774;JQ801739_China_2009;JX644073_China_2004;KX641240_China_2013; 3.69010324385696E-22; 1.36879366034562E-16; 3.50078593751751E-19; 8.5812059717497E-16; 1.88019910548947E-17; 6.33949238210499E-17;NS;NS; 6.77541081588348E-40
192;222; 6290*;4381; 6282*;4373; 6273*;4378;^JX644073_China_2004;Unknown (OP441391_China_2013);JX843811_China_2009; 1.12831286234153E-13; 2.85476034865242E-08; 1.05226720742702E-13; 2.86780941196227E-11; 8.19340901955047E-11; 1.18849549905423E-12;NS;NS; 4.95396609144848E-21
193;224;4096;4950;4096;4950;4093;4937;^PP858877_Hungary_2024;JX678886_China_2002;MH718269_USA_2018; 1.66209611225915E-15;NS; 7.15811720389658E-11; 3.69464829290199E-14; 4.21602224531474E-11; 1.57554557555277E-66;NS;NS;NS
194;225;6081; 6282*;6081; 6282*;6068; 6266*;^OP441386_China_2013;OP441393_China_2018;Unknown (OP672302_China_2014); 3.64428071636634E-17; 3.92696089154003E-16; 7.45176297718E-17; 1.34008101096551E-02;NS;NS;NS;NS; 4.30734273472977E-03
195;226; 5625*;5768; 5625*;5768; 5612*;5755;MG212481_Russia_Poliovirus-3;FJ517648_Belarus_Poliovirus-2;PP533222_Tunisia_Poliovirus-3; 3.94523700235954E-12; 8.71665406978002E-11; 7.44241776427606E-10; 4.28201457984804E-02; 4.14638515876688E-02;NS;NS;NS; 2.4463571168809E-08
196;227;5011;6300;5005;6294;4998;6283;^KR107055_India_2009;MW183139_China_2007;MH144604_India_2013; 4.40470237087428E-13; 6.07314016386735E-13; 6.46962737489342E-19; 5.04671591642267E-08; 1.57982949395429E-05; 1.30738627154099E-18;NS;NS;NS
197;228;2465;3102;2462;3099;2462;3099;^OP207959_USA_2015;Unknown (KP262053_China_2004);AB705311_Japan_2011; 2.33683965553223E-15;NS; 4.31718693268173E-12; 1.44674293028973E-11; 3.09850019095986E-10;NS;NS;NS; 8.99281647524375E-10
198;229;4639;18;4631;18;4627;18;^MH614925_China_2010;MW183139_China_2007;Unknown (OQ842423_USA_2013); 3.03555007663311E-13; 7.46138920648676E-07; 5.44567369024071E-14; 7.97603971506875E-11; 9.16502207148191E-08; 5.67530884482943E-20;NS;NS; 3.78950709966863E-03
199;231; 2*;2950; 2*;2950; 2*;2947;^PP621670_Thailand_2019;PP621675_Thailand_2019;MW183137_China_2007; 4.84329751553018E-17; 4.41037185770686E-15; 3.96638395932495E-14; 2.14863113911282E-19; 3.37699182846031E-15; 7.12418977388946E-61;NS;NS; 1.37960901637082E-17
200;232; 3103*; 3813*; 3100*; 3810*; 3100*; 3810*;^OP207959_USA_2015;Unknown (MN181513_Nigeria_2010);OP207968_USA_2017; 3.26408877046538E-11;NS; 2.52130488056358E-10; 1.34580002357024E-07; 9.80199961563231E-09; 3.52756507980395E-07;NS;NS;NS
201;235;4118;86;4115;86;4115;86;^HM775882_South-Korea_2006;Unknown (PP621613_Thailand_2019);PP621691_Nepal_2023; 8.60905444780837E-11;NS; 5.37365611375648E-15; 2.35527604172794E-13; 3.8892554232409E-12; 9.84655929797455E-23;NS;NS; 4.07726186146817E-09
202;238;5522;5624;5506;5608;5509;5611;MH144606_India_Enterovirus-C99;MH144607_India_2012;HQ415758_China_Enterovirus-C96; 3.91199727102919E-14; 9.46319089345897E-15; 8.30375866934729E-07; 1.81305026577528E-02;NS;NS;NS;NS; 2.25528690757537E-04
203;242;5624; 6305*;5624; 6305*;5611; 6288*;OP137283_Israel_Poliovirus-3;KJ170531_Nigeria_Poliovirus-1;KJ170573_Nigeria_Poliovirus-2; 8.72695648454751E-52; 1.27130664179988E-49; 2.07825507100882E-11; 9.8537175768172E-13; 4.51693726691135E-12; 2.53981659534423E-12;NS;NS; 4.3074517487854E-58
204;243; 6285*;3382; 6285*;3382; 6268*;3379;^JX275051_Nigeria_Poliovirus-2;JX275137_Nigeria_Poliovirus-2;JX275032_Nigeria_Poliovirus-2; 2.89833089706655E-30; 1.55282759573825E-32; 3.50694794851729E-31; 6.11089580659984E-15; 4.72317943501808E-12; 8.2658464656952E-29;NS;NS; 1.13637287272347E-02
205;244;3334;3435;3323;3424;3331;3432;MH144598_India_2017;MW655540_China_2019;MZ389224_Spain_2016; 7.15034394872504E-12; 4.87636090046343E-09; 2.04559123831922E-04;NS; .041350123649772; 3.46923273975289E-02;NS;NS; 2.68137789050882E-04
206;246;2895; 3308*;2894; 3307*;2892; 3305*;^KY369904_USA_2016;Unknown (MW183137_China_2007);MN590273_France_2019; 6.95951684492899E-11;NS; 3.64173517773703E-07; 3.29855388836457E-03;NS;NS;NS;NS; 6.52361685005154E-07
207;248;46;2347;46;2347;46;2344;^MN181513_Nigeria_2010;PP621632_Thailand_2019;Unknown (KJ755189_China_1999); 6.0092462504604E-14;NS; 1.3984557589262E-06; 1.52119709314298E-14; 8.79498169344539E-13; 4.47857414990415E-39;NS;NS;NS
208;251; 3538*;5175; 3538*;5175; 3535*;5162;^KC414134_China_2011;HM002485_China_2008;Unknown (MH718269_USA_2018); 2.29116659331305E-10; 7.40436668959619E-10; 1.95341050824947E-08; 3.11835394271072E-14; 1.71593171298182E-10; 4.85264402823251E-39;NS;NS; 1.36086376400424E-16
209;252;2360; 6305*;2353; 6298*;2357; 6288*;^PP461538_Thailand_2023;KR107055_India_2009;MF678301_Australia_2008; 7.13948587604232E-14;NS; 1.54670858543814E-10; 9.00547632970029E-10; 8.71917705799987E-05;NS;NS;NS; 5.3484740310195E-09
210;253;5106; 6302*;5103; 6299*;5093; 6285*;^MK512666_China_Enterovirus-C96;PP756361_France_Coxsackievirus-A1;MH484165_Brazil_Enterovirus-C96; 7.72430823199727E-11; 1.12648685715194E-12;NS; 2.59843700145906E-09; 4.23799979492806E-08; 1.75788866175415E-30;NS;NS; 1.88123092751402E-05
211;254;4142;6305;4139;6302;4139;6288;^KF312882_China_2000;MZ389224_Spain_2016;MG451805_United-Kingdom_2016; 3.07739929676831E-15; 4.29661854961516E-04; 4.78306999446067E-14; 4.04022923837882E-11; 1.7032103247197E-08; 1.20643528416511E-21;NS;NS; 1.9538047970058E-05
212;256; 3415*;4039; 3410*;4034; 3412*;4036;^KM890278_China_2009;Unknown (PP621658_Thailand_2019);JX976773_China_2010; 2.33776131763222E-09;NS; 1.08804062468571E-06; 1.52042202665068E-11; 9.29660611672338E-10; 4.8099949885325E-32;NS;NS; 6.97491234974304E-14
213;257;5060;6291;5053;6284;5047;6274;^PP548238_France_Coxsackievirus-A24;KY941933_Nigeria_Poliovirus-3;MG880752_Mexico_Coxsackievirus-A24; 1.13223093536729E-34;NS;NS; 1.45701389559603E-18; 8.13854223900202E-13; 2.40072256767314E-03;NS;NS; 8.43606969829225E-10
214;259;3390; 3952*;3390; 3952*;3387; 3949*;^JQ801739_China_2009;JX843811_China_2009;KP289441_China_2013; 1.96878958145103E-16; 2.10521261693186E-04; 6.16390043738577E-14; 4.72306408887144E-10; 1.42969838270141E-09; 3.54335374788331E-09;NS;NS; 5.01942019418877E-13
215;261; 148*;2354; 148*;2353; 148*;2351;^OQ842428_USA_2017;OQ842423_USA_2013;MZ389224_Spain_2016; 1.55623719621796E-08;NS; 2.24015596535481E-04; 6.25878389368304E-13; 2.10657029452248E-11; 9.76823898604145E-38;NS;NS;NS
216;263;2352;3179;2344;3171;2349;3176;^KP262053_China_2004;KX641240_China_2013;Unknown (OP207968_USA_2017); 3.50797246429323E-12;NS; 2.46179889114449E-09; 2.4849384010585E-09; 4.42660880616759E-11; 2.51815220632959E-33;NS;NS; 2.09624233521113E-11
217;264; 132*;2472; 132*;2472; 132*;2469;^MF678296_Australia_2007;OQ791514_USA_2009;KX171334_China_2011; 5.3510557404262E-10; 1.10539529775276E-10; 2.16212224497326E-07; 1.22013744138979E-15; 2.5647259413365E-11; 9.50173369032357E-49;NS;NS; 1.63090474458727E-08
218;266;2785;3242;2782;3239;2782;3239;^HM185056_China_2008;Unknown (GU550508_China_1999);JX976771_China_2011; 7.4041824099849E-08;NS; 4.84495402491924E-07; 1.63022798201962E-16; 4.79043578275457E-11;NS;NS;NS; 7.33907108418919E-08
219;267;3402;3487;3386;3471;3399;3484;MH144606_India_Enterovirus-C99;MH144607_India_2012;PP756365_France_Enterovirus-C99; 6.60240201445423E-10; 6.56223296608774E-10;NS;NS;NS;NS;NS;NS; 3.82105042591396E-04
220;269;6135;2898;6122;2895;6122;2895;^MN515037_Spain_2016;JX678886_China_2002;PP621603_Nepal_2023; 3.08473761534632E-08; 1.42715971083451E-07;NS; 2.28679309437906E-118; 2.5469274408741E-10; 3.82309930449038E-53;NS;NS;NS
221;272;6130; 6290*;6130; 6290*;6117; 6273*;OP672302_China_2014;KP289441_China_2013;OP441391_China_2013; 8.56531318549423E-15; 3.69583697690729E-11;NS; .014575404159499; 1.51129271918113E-02;NS;NS;NS; 8.15452372293635E-09
222;273;106;2396;106;2389;106;2393;^KF311743_China_2011;PP621658_Thailand_2019;KX641240_China_2013; 5.33429575151926E-07;NS;NS; 4.13175039716396E-09; 1.172980703146E-07; 1.1606747997442E-25;NS;NS; 8.15452372293635E-09
223;274~;3216;3530;3193;3497;3213;3527;^MH118024_India_2017;MT708804_China_2019;JF905564_China_2004; 6.79694395421749E-08;NS; 3.51577402987697E-08;NS;NS; .015465340482835;NS;NS; 1.68798498600964E-06
224;275; 104*;2600; 104*;2595; 104*;2597;^KP289434_China_2013;OQ791567_USA_2015;Unknown (MW183137_China_2007); 6.13628580094593E-07;NS;NS; 3.96343320806912E-10; 5.98587758991899E-11; 8.92414194856931E-32;NS;NS;NS
225;276;5740;5846;5731;5837;5727;5833;MH144604_India_2013;FJ606450_China_2008;PP621646_Thailand_2019; 1.84934043422655E-09; 2.84837513642167E-05;NS; 2.60975464085713E-02;NS; 1.67612628834569E-25;NS;NS; 2.27510953065835E-06
226;277;6284;3605;6284;3605;6267;3602;ON502341_China_2018;KU936128_China_2014;KP289422_China_2013; 7.89674641072098E-07; 1.43057663754775E-03; 2.34074476733786E-06; 1.84997232483275E-10; 2.93817832762337E-07; 1.16898647800669E-15;NS;NS; 8.15452372293635E-09
227;278; 6290*;3456; 6289*;3455; 6273*;3453;^KF878966_Australia_2011;OQ842451_USA_2013;MW183137_China_2007; 4.57608902625477E-10; 2.2200609290457E-03;NS; 1.83659454141757E-04; 2.78650669619298E-06; 1.01000510984032E-09;NS;NS; .018065079360521
228;279~;4296; 4419*;4296; 4419*;4293; 4416*;HM107833_China_Poliovirus-2;KJ170677_Nigeria_Poliovirus-3;JX275085_Nigeria_Poliovirus-2; 8.50203510238112E-10; 1.75115592189187E-07; 5.99294285390734E-09;NS;NS;NS;NS;NS; 7.47676577465339E-03
229;280~;2335;2780;2335;2780;2332;2777;^PP621613_Thailand_2019;KJ686255_Viet-Nam_2011;PQ238650_USA_2022; 3.84773609443476E-06;NS;NS; 1.1017413E-192;NS; 1.42380440915391E-06;NS;NS;NS
230;282;3203;4189;3200;4186;3200;4186;OQ842413_USA_2009;OQ791558_USA_2015;KP266571_China_2002; 8.88052362222613E-11;NS; 2.52301826030265E-09; 2.79450265981406E-11; 4.00117868827996E-12; 1.29603051067862E-11;NS;NS; 1.20523828047637E-14
231;289;28; 967*;28; 967*;28; 967*;^KC880378_Russia_Poliovirus-1;KC880369_Tajikistan_Poliovirus-1;Unknown (KY941935_Pakistan_Poliovirus-1); 9.06563094819861E-23; 1.45861261257141E-25;NS; 2.79374259697847E-266; 4.35040221920064E-07; 1.38699770376431E-88;NS;NS;NS
232;292;2360;4314;2355;4306;2357;4311;MN914204_Malawi_Enterovirus-C;Unknown (KX162692_Equatorial-Guinea_Poliovirus-1);DQ358078_Netherlands_Coxsackievirus-A20; 7.6118095751571E-12;NS; 6.6647470610995E-09; 7.29815872055627E-10; 8.83092245248142E-09; 2.38968900274375E-18;NS;NS; 4.07726186146817E-09
233;295;14;2346;14;2344;14;2343;^MN914197_Malawi_Enterovirus-C;Unknown (KX162680_Cameroon_Poliovirus-1);KY941935_Pakistan_Poliovirus-1; 8.99258694639263E-09; 2.75779550235966E-02; 1.08907564674173E-03; 1.54045236129088E-06; 6.55438187770727E-07; 6.60357278590557E-15;NS;NS;NS
234;298; 6300*; 2643*; 6300*; 2643*; 6283*; 2640*;^KX162690_Chad_Poliovirus-2;Unknown (KX162695_Equatorial-Guinea_Poliovirus-1);KX162682_Central-African; 2.03394547180628E-10; 2.7246493541204E-27; 1.86658197110918E-23; 3.92836372228191E-21; 4.9810023119049E-16; 5.44842432201141E-46;NS;NS; 5.70816643952199E-08
235;302;5030; 6277*;5030; 6277*;5017; 6262*;^MF678348_Australia_2010;MF678301_Australia_2008;Unknown (MG720258_China_2015); 1.95486526401663E-10; 1.13796378553577E-05;NS; 5.53114888415504E-10; 1.10550659125645E-11; 1.04511970188524E-13;NS;NS; 3.66953560870797E-08
236;305~; 6049*; 6295*; 6036*; 6282*; 6036*; 6278*;^MK791150_China_2018;Unknown (MN815810_China_2018);OR095792_China_2020; 2.81900502459461E-06;NS;NS; 4.82936367859555E-02; 2.64270967527205E-02;NS;NS;NS; 2.09978765408625E-06
237;306; 2798*;3118; 2790*;3110; 2795*;3115;^MH614925_China_2010;JQ397329_China_2010;JX644073_China_2004; 3.83808438065555E-10; 3.11743364665995E-04;NS; .000110644653181; 4.23996906538721E-05;NS;NS;NS; 1.22317855844045E-08
238;307; 3144*; 3557*; 3136*; 3549*; 3141*; 3554*;^JX644073_China_2004;OQ791511_USA_2009;MH614925_China_2010; 7.55455456804464E-11;NS; 1.60356231256289E-08; 2.72254647321293E-03; 1.9689561447944E-03; .02637056543319;NS;NS; 4.07726186146817E-09
239;308~;4794;4880;4785;4871;4781;4867;MH144604_India_2013;KJ686294_Viet-Nam_2011;PP461531_Nepal_2023; 1.67092503843352E-08; 2.63154635062879E-03;NS;NS;NS;NS;NS;NS; 1.74707921728934E-03
240;310;3282;6300;3282;6300;3279;6283;^PP621689_Nepal_2023;PP621613_Thailand_2019;Unknown (OQ791514_USA_2009); 3.81093090135581E-09;NS;NS; 8.99389904040232E-10; 2.1319117359652E-08; 1.77594023200916E-18;NS;NS; 6.56438944202087E-07
241;313;2258;3388;2255;3385;2256;3385;^PP621691_Nepal_2023;PP621603_Nepal_2023;MG982663_India_Coxsackievirus-A21; 1.06244798668711E-03;NS;NS; 3.38251057536235E-02; 7.66768438947346E-03; 6.21005863507038E-07;NS;NS; 2.87849271350722E-02
242;314;2808;3760;2800;3752;2805;3757;^PP461531_Nepal_2023;Unknown (PP621614_Thailand_2019);PP621598_Nepal_2023; 3.23585603319716E-06; 1.93032662390791E-03;NS; 1.82585138963443E-07; 4.54319614678961E-07; 7.30398983392093E-12;NS;NS; 7.31165162878578E-03
243;315; 6290*;2969; 6290*;2969; 6273*;2966;JX275078_Nigeria_Poliovirus-2;JX275023_Nigeria_Poliovirus-2;MH785183_Nigeria_Coxsackievirus-A20; 1.64725973232231E-19; 7.19148477475878E-20; 1.4182914050797E-15; 2.18197272958183E-08; 6.11975455152859E-08; 9.62381757501786E-18;NS;NS; 2.03047434554904E-06
244;316; 6296*;4092; 6289*;4085; 6279*;4089;^MG720258_China_2015;MF678301_Australia_2008;Unknown (OQ842423_USA_2013); 1.90614510204511E-03;NS;NS; 2.27430898905452E-04; 3.01927015583096E-04; 1.39675957901557E-07;NS;NS; 2.42104878548366E-05
245;321; 4951*; 6281*; 4951*; 6281*; 4938*; 6265*;^JX275258_Nigeria_Poliovirus-2;JX275038_Nigeria_Poliovirus-2;JX275325_Nigeria_Poliovirus-2; 3.60525953781232E-30; 9.07499175599438E-26;NS; 6.87840981316331E-20; 1.13781339763886E-20; 5.09732528762622E-24;NS;NS; 2.32262070516865E-59
246;322; 6291*; 3548*; 6291*; 3548*; 6274*; 3545*;JX275274_Nigeria_Poliovirus-2;JX275272_Nigeria_Poliovirus-2;JX275032_Nigeria_Poliovirus-2; 4.39302607477262E-29; 9.41875391949801E-29; 1.27220796786393E-16; 5.26011088117222E-17; 1.55600683497771E-15; 1.71691869327454E-26;NS;NS; 3.66953560870797E-08
247;323; 6280*; 3315*; 6280*; 3315*; 6264*; 3312*;^JX275163_Nigeria_Poliovirus-2;JX275137_Nigeria_Poliovirus-2;Unknown (JX275328_Nigeria_Poliovirus-2); 7.31054241818718E-19; 9.01762661050977E-21;NS; 1.11758417058087E-12; 2.6006571585007E-08; 6.45494421030479E-22;NS;NS;NS
248;325; 78*;2964; 78*;2964; 78*;2961;^JX275381_Nigeria_Poliovirus-2;Unknown (JX275294_Nigeria_Poliovirus-2);JX275145_Nigeria_Poliovirus-2; 2.95746853016781E-18; 8.39961903825753E-20;NS; 1.83112799417373E-07; 6.11154103006659E-06; 9.92333851551818E-19;NS;NS;NS
249;326; 6285*; 3315*; 6285*; 3315*; 6268*; 3312*;^JX275137_Nigeria_Poliovirus-2;JX275052_Nigeria_Poliovirus-2;Unknown (JX275032_Nigeria_Poliovirus-2); 9.73325355524675E-23; 2.53790598664345E-22;NS; 9.90385454609863E-12; 6.93311555306187E-09; 5.59934869935311E-25;NS;NS;NS
250;328; 2522*; 3306*; 2522*; 3306*; 2519*; 3303*;^JX275234_Nigeria_Poliovirus-2;JX275313_Nigeria_Poliovirus-2;JX275305_Nigeria_Poliovirus-2; 6.91909776547678E-18; 4.09580712530641E-18; 3.14476923090562E-18; 6.77369480399602E-13; 3.66960850654568E-11; 3.70047962368226E-23;NS;NS; 1.63090474458727E-08
251;329;4158; 4878*;4158; 4878*;4155; 4865*;^JX275038_Nigeria_Poliovirus-2;JX275265_Nigeria_Poliovirus-2;Unknown (JX275189_Nigeria_Poliovirus-2); 1.34254620675733E-16; 2.41511643702579E-16; 3.68752282029386E-14; 2.53403611771867E-13; 8.84174456919611E-14; 1.4526050318108E-16;NS;NS; 2.76097782865745E-11
252;330; 6276*;2964; 6276*;2964; 6261*;2961;^JX275032_Nigeria_Poliovirus-2;Unknown (JX275145_Nigeria_Poliovirus-2);JX275294_Nigeria_Poliovirus-2; 6.07767765383237E-18; 1.46564555723518E-18;NS; 1.44483971219224E-09; 3.33048395327488E-10; 1.10112599279698E-14;NS;NS;NS
253;331; 2525*; 3670*; 2525*; 3670*; 2522*; 3667*;^JX275342_Nigeria_Poliovirus-2;JX275272_Nigeria_Poliovirus-2;JX275305_Nigeria_Poliovirus-2; 5.60909916323965E-16; 4.29706876367963E-19; 4.01680611625111E-18; 1.19859194827417E-12; 3.45410542276065E-12; 2.82520070228181E-19;NS;NS; 1.29118546635776E-04
254;332; 2508*; 3538*; 2508*; 3538*; 2505*; 3535*;^JX275302_Nigeria_Poliovirus-2;JX275023_Nigeria_Poliovirus-2;Unknown (JX275377_Nigeria_Poliovirus-2); 8.15556450010938E-15; 6.76475081427565E-12; 2.31104849816013E-12; 2.2748066095522E-10; 4.86875314705551E-08; 1.30953797444349E-15;NS;NS;NS
255;333; 6268*;2964; 6268*;2964; 6253*;2961;^JX275294_Nigeria_Poliovirus-2;JX275145_Nigeria_Poliovirus-2;KX162713_Nigeria_Poliovirus-2; 1.30036318884632E-12; 3.20812729728799E-15;NS; 1.23637657814208E-06; 6.44742068817744E-06; 7.8357527867809E-12;NS;NS;NS
256;334; 6285*;2802; 6285*;2802; 6268*;2799;^JX275283_Nigeria_Poliovirus-2;JX275170_Nigeria_Poliovirus-2;JX275377_Nigeria_Poliovirus-2; 4.09874195193508E-11; 5.21889518267926E-07;NS; 3.02315434768117E-03; 1.26664340375679E-02; 5.90255074313541E-07;NS;NS;NS
257;335; 2483*;3035; 2483*;3035; 2480*;3032;^JX275265_Nigeria_Poliovirus-2;JX275151_Nigeria_Poliovirus-2;Unknown (KX162713_Nigeria_Poliovirus-2); 2.19867702187542E-13; 5.59021230567944E-12;NS; 1.4210266989461E-08; 2.27992018033915E-05; 2.77942343305735E-17;NS;NS;NS
258;336;5300;44;5300;44;5287;44;^JX275090_Nigeria_Poliovirus-2;JX275381_Nigeria_Poliovirus-2;JX275023_Nigeria_Poliovirus-2; 1.57136719103957E-10;NS;NS; 1.32154605266588E-11; 1.48463189536304E-08;NS;NS;NS; 2.9119380237197E-05
259;338; 2483*;3023; 2483*;3023; 2480*;3020;^JX275325_Nigeria_Poliovirus-2;JX275023_Nigeria_Poliovirus-2;Unknown (KY941933_Nigeria_Poliovirus-3); 4.19381911713383E-12; 5.24192343939651E-15; 1.67147778210612E-13; 5.41701423713682E-08; 1.13200897925968E-05; 6.64189429562296E-18;NS;NS;NS
260;340; 2483*; 3312*; 2483*; 3312*; 2480*; 3309*;^JX275038_Nigeria_Poliovirus-2;Unknown (JX275151_Nigeria_Poliovirus-2);JX275117_Nigeria_Poliovirus-2; 2.69518929392319E-07; 1.12940153562668E-06; 2.72194200746308E-04; 2.85553204231465E-08; 3.525153041949E-05; 1.32224388729947E-21;NS;NS;NS
261;341; 6288*;3012; 6288*;3012; 6271*;3009;^KX162713_Nigeria_Poliovirus-2;Unknown (JX275313_Nigeria_Poliovirus-2);JX275195_Nigeria_Poliovirus-2; 2.31020196974419E-07; 3.0761894024697E-07;NS;NS; 4.02202501935018E-03; 2.27120278223356E-07;NS;NS;NS
262;342;4423; 4928*;4423; 4928*;4420; 4915*;^JX275151_Nigeria_Poliovirus-2;JX275175_Nigeria_Poliovirus-2;JX275105_Nigeria_Poliovirus-2; 4.32032215392523E-19; 2.08799035210754E-15;NS; 1.32994932340345E-09; 2.50289337645728E-08; 1.00315727044557E-06;NS;NS; 1.35582760115484E-14
263;346; 43*; 2777*; 43*; 2777*; 43*; 2774*;^JX275227_Nigeria_Poliovirus-2;JX275313_Nigeria_Poliovirus-2;KX162712_Nigeria_Poliovirus-2; 3.60763265645475E-08; 2.87489045530466E-08;NS; 5.66271150013839E-04; 8.24489325385069E-04; 3.57911342725293E-13;NS;NS;NS
264;348; 3434*;4294; 3434*;4294; 3431*;4291;^JX275336_Nigeria_Poliovirus-2;JX275023_Nigeria_Poliovirus-2;JX275283_Nigeria_Poliovirus-2; 2.16481379624243E-09; 4.22066775266517E-10; 2.46330888551514E-07; 2.71075743410428E-08; 1.66245887392606E-05; 3.24362504694443E-17;NS;NS;NS
265;351;6294; 3465*;6294; 3465*;6277; 3462*;JX275052_Nigeria_Poliovirus-2;JX275122_Nigeria_Poliovirus-2;JX275340_Nigeria_Poliovirus-2; 1.70202393790317E-11; 8.79239541141394E-11; 7.02101914270679E-12; 5.54222132540657E-07; 3.25691653995734E-04; 6.68727741867551E-16;NS;NS;NS
266;353; 2779*;3515; 2779*;3515; 2776*;3512;^JX275305_Nigeria_Poliovirus-2;OP137303_Israel_Poliovirus-3;JX275302_Nigeria_Poliovirus-2; 1.33423935037617E-03;NS;NS; 2.16243643910273E-04; 5.10723732610026E-03;NS;NS;NS;NS
267;355~;2781;3276;2778;3273;2778;3273;^MZ389229_Spain_2015;Unknown (MW481634_China_2019);KX641240_China_2013; 6.52311762449823E-03;NS;NS; 1.75968256766948E-05; 2.92440334949173E-05; 4.91832356728859E-34;NS;NS; 5.0560846101444E-05
268;358~;2330;3370;2320;3358;2327;3367;^KF874627_China_1997;JX017382_China_2011;MW183139_China_2007; 6.14346454776638E-03;NS;NS; 1.72608900295644E-02; 6.43186497433906E-03; 3.66792340037391E-12;NS;NS; 4.85060079115085E-05
269;359;5332; 5735*;5332; 5735*;5319; 5722*;^OP137286_Israel_Poliovirus-3;Unknown (OP137313_Israel_Poliovirus-3);OP137297_Israel_Poliovirus-3; 3.44224707514737E-07;NS;NS; 1.29562223738342E-11; 6.88810495202663E-10; 3.65917570729866E-03;NS;NS; 4.07726178375256E-08
